window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437676.871100,-453841.521528,464.055672,-1504.913259,464.055672,13731.530610,-1504.913259,13775.830112,10.947073,-35.500904,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437658.902864,-453899.791770,3576.696998,2920.955888,3576.696998,5067.851479,2920.955888,5074.424280,191.245988,156.183511,139.002179,0.003736,130.935525,0.000005
3,0.115050,0.080040,-437298.349257,-453532.396767,3603.167645,3842.154402,3603.167645,3371.014470,3842.154402,3393.820467,288.397538,307.526038,283.543224,0.001868,296.108949,0.000003
4,0.206340,0.101580,-437088.161109,-453291.194512,1868.491679,2192.653157,1868.491679,2657.514786,2192.653157,2672.030092,189.801385,222.729708,408.752201,34.385236,399.628191,0.017652
5,0.316080,0.116750,-436922.726375,-453091.607702,674.813879,934.437039,674.813879,2310.992735,934.437039,2330.201401,78.784520,109.095524,471.241973,34.385306,499.633128,0.017652
6,0.437380,0.124570,-436932.252111,-453075.302179,-23.394478,-1.365905,-23.394478,2138.308974,-1.365905,2157.179920,-2.914250,-0.170151,509.191686,0.991855,527.737488,61.718441
7,0.562620,0.124570,-436928.494049,-453091.944453,42.686486,82.005195,42.686486,2165.204476,82.005195,2181.660554,5.317456,10.215387,510.398104,0.985190,532.787112,61.717830
8,0.683920,0.116750,-436921.728185,-453055.084618,-74.456202,-104.471783,-74.456202,2278.702393,-104.471783,2303.057421,-8.692762,-12.197081,504.463452,0.984488,526.368063,61.716105
9,0.793660,0.101580,-436945.696410,-453116.081613,-397.517213,-201.287866,-397.517213,2649.222126,-201.287866,2671.329041,-40.379798,-20.446821,492.173030,0.983186,509.591039,61.716105
10,0.884950,0.080040,-437001.641070,-453095.549518,-376.386637,-480.495673,-376.386637,3339.433283,-480.495673,3377.152215,-30.125986,-38.458874,471.011947,1.309735,478.470378,123.442264
11,0.952060,0.053470,-437005.316053,-453192.192128,-149.565462,-588.242789,-149.565462,5003.847118,-588.242789,5077.330994,-7.997265,-31.453342,447.738064,1.309856,442.608859,123.442284
12,0.990780,0.023590,-437017.469583,-453157.803252,-313.882468,888.142452,-313.882468,13627.980879,888.142452,13874.381698,-7.404487,20.951280,432.766460,1.309870,402.297461,0.039717
