lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,276.219746,0.111000,272.569584,0.104829
0.115050,546.591491,0.140920,545.977809,0.133873
0.206340,795.445790,0.158997,799.897605,0.154042
0.316080,993.874231,0.174489,1004.221754,0.171310
0.437380,1119.384862,0.189502,1135.855737,0.186622
0.562620,1161.016405,0.203180,1182.263279,0.200434
0.683920,1117.817771,0.214579,1143.298777,0.213248
0.793660,998.367115,0.225406,1025.400582,0.224663
0.884950,821.603415,0.236441,847.814269,0.235754
0.952060,615.808723,0.249471,639.778483,0.247406
0.990780,409.795418,0.264258,431.685609,0.264501
