window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437969.189085,4405.273572,-454217.856432,4566.195042,4887.715421,13551.504945,4362.738047,13546.660366,115.301207,102.916991,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437779.936744,4402.922968,-454048.931215,4564.116348,2007.670175,4990.649093,1719.995360,5012.706637,107.350124,91.968152,276.219746,0.111000,272.569584,0.104829
3,0.115050,0.080040,-437756.717351,4403.013564,-454035.829323,4564.537826,303.501104,3394.683710,508.520758,3417.755264,24.292228,40.702001,546.591491,0.140920,545.977809,0.133873
4,0.206340,0.101580,-437731.862169,4403.002306,-453968.381527,4564.276130,345.397823,2663.064209,253.854006,2700.212450,35.085511,25.786490,795.445790,0.158997,799.897605,0.154042
5,0.316080,0.116750,-437687.282026,4402.604658,-453984.797052,4564.639920,437.552281,2309.783702,197.948347,2339.819857,51.084229,23.110469,993.874231,0.174489,1004.221754,0.171310
6,0.437380,0.124570,-437630.770090,4401.902271,-453922.647541,4563.594806,447.990042,2138.241796,765.575014,2170.375710,55.806120,95.367680,1119.384862,0.189502,1135.855737,0.186622
7,0.562620,0.124570,-437576.834561,4401.024526,-453796.052188,4561.974805,305.622365,2169.342958,646.461703,2188.403979,38.071378,80.529734,1161.016405,0.203180,1182.263279,0.200434
8,0.683920,0.116750,-437555.421952,4400.897888,-453763.268873,4561.747876,-119.782764,2285.821593,-200.000384,2302.161548,-13.984638,-23.350045,1117.817771,0.214579,1143.298777,0.213248
9,0.793660,0.101580,-437604.509171,4401.671676,-453842.260277,4562.738252,-403.797343,2656.151801,-385.051258,2671.124874,-41.017734,-39.113507,998.367115,0.225406,1025.400582,0.224663
10,0.884950,0.080040,-437636.597332,4401.870130,-453840.675727,4562.572259,-55.812066,3361.910805,34.713783,3385.522784,-4.467198,2.778491,821.603415,0.236441,847.814269,0.235754
11,0.952060,0.053470,-437613.349802,4402.050034,-453836.761614,4562.984433,-12.409730,5007.335216,-83.547599,5053.139227,-0.663548,-4.467290,615.808723,0.249471,639.778483,0.247406
12,0.990780,0.023590,-437637.910654,4401.851802,-453849.517569,4562.954122,-634.319518,13726.481092,-329.441007,13915.578966,-14.963597,-7.771513,409.795418,0.264258,431.685609,0.264501
