window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2345.6404,13978.4055,62096.7555,-516277.5178,-437856.7164,-454180.76229999994
1,0.00922,2000,2356.294,13893.9528,61992.0776,-515794.4927,-437552.1683,-453802.4151
1,0.00922,3000,2378.6946,13861.6578,62138.4828,-515730.6849,-437351.8497,-453592.2021
1,0.00922,4000,2351.2787,13878.6266,62351.8676,-516288.4129,-437706.64,-453936.5453
1,0.00922,5000,2350.4353,13881.0768,61610.8652,-515416.0342,-437573.6569,-453805.169
1,0.00922,6000,2379.2961,13962.489,61806.3548,-515938.1068,-437789.9669,-454131.752
1,0.00922,7000,2354.5207,13967.2657,62163.4339,-516314.2936,-437829.0733,-454150.8597
1,0.00922,8000,2386.7436,13879.7508,61792.2768,-516557.4217,-438498.6505,-454765.1449
1,0.00922,9000,2363.5021,13924.4129,62183.8555,-517027.1019,-438555.3314,-454843.2464
1,0.00922,10000,2339.7086,13929.7763,62216.2675,-516465.5976,-437979.8452,-454249.33009999996
1,0.00922,11000,2373.2945,13976.8062,61522.6907,-515135.6893,-437262.89790000004,-453612.99860000005
1,0.00922,12000,2334.7788,13961.0887,61958.3268,-516132.3595,-437878.16520000005,-454174.03270000004
1,0.00922,13000,2374.6283,13843.7959,62046.9951,-515654.644,-437389.22469999996,-453607.6489
1,0.00922,14000,2365.1653,13869.1372,61887.4255,-515947.9952,-437826.2672,-454060.5697
1,0.00922,15000,2352.2111,13842.4009,61584.4394,-515009.7273,-437230.67590000003,-453425.2879
1,0.00922,16000,2325.3841,13870.4042,61975.0537,-516330.0935,-438159.2515,-454355.0398
1,0.00922,17000,2329.4448,13917.1803,61643.6619,-515651.3819,-437761.09489999997,-454007.72
1,0.00922,18000,2342.8574,13970.264,62064.6611,-515359.2473,-436981.46479999996,-453294.5862
1,0.00922,19000,2372.323,14004.8583,62005.8161,-516514.2527,-438131.2553,-454508.4366
1,0.00922,20000,2355.4413,13893.0545,61911.8099,-515292.4304,-437132.12470000004,-453380.6205
1,0.00922,21000,2341.2626,13970.5835,61619.8372,-515792.2058,-437860.52249999996,-454172.3686
1,0.00922,22000,2341.2314,13947.2897,62214.5295,-516559.723,-438056.6724,-454345.1935
1,0.00922,23000,2318.6917,13836.8635,62334.1416,-516783.5254,-438293.8286,-454449.38379999995
1,0.00922,24000,2370.6371,13861.549,62186.6808,-516643.4711,-438224.6042,-454456.7903
1,0.00922,25000,2373.8835,13899.2454,61804.854,-515832.9903,-437755.0074,-454028.1363
1,0.00922,26000,2358.1917,14077.0544,61850.4599,-515337.9554,-437052.2494,-453487.49549999996
1,0.00922,27000,2339.8021,13920.4565,61771.0165,-515089.5685,-437058.29339999997,-453318.552
1,0.00922,28000,2346.4381,14058.7137,61686.1165,-515270.5055,-437179.23720000003,-453584.389
1,0.00922,29000,2355.115,13891.4058,61438.3266,-515391.2934,-437706.446,-453952.96680000005
1,0.00922,30000,2389.9582,14038.0124,62152.3859,-516757.1245,-438176.768,-454604.7386
1,0.00922,31000,2337.1169,13960.5527,62163.4845,-516108.2985,-437647.1444,-453944.81399999995
1,0.00922,32000,2343.189,13932.443,61856.5087,-515506.2455,-437374.10480000003,-453649.7368
1,0.00922,33000,2341.7454,13912.8014,62104.0453,-516244.0889,-437885.49679999996,-454140.0436
1,0.00922,34000,2335.3956,13889.3849,62030.3493,-516307.3383,-438052.2085,-454276.989
