window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2352.978,13692.5747,61792.1409,-515127.3255,-437289.6319,-453335.1846
1,0.00922,2000,2328.2826,13752.4102,62280.9807,-515721.4421,-437359.76859999995,-453440.4614
1,0.00922,3000,2366.4308,13690.406,62090.9733,-515760.8068,-437612.9967,-453669.8335
1,0.00922,4000,2356.7299,13731.0318,61987.3292,-514956.1745,-436881.0836,-452968.84530000004
1,0.00922,5000,2372.9309,13853.0723,62044.2199,-514740.9121,-436470.689,-452696.69220000005
1,0.00922,6000,2358.9047,13778.284,61128.1708,-513695.0577,-436429.6982,-452566.8869
1,0.00922,7000,2367.8185,13831.4007,61724.3418,-514012.9294,-436089.36840000004,-452288.5876
1,0.00922,8000,2349.1131,13837.586,61803.321,-515268.3903,-437278.3702,-453465.06930000003
1,0.00922,9000,2344.7972,13911.7253,62379.9848,-516037.2241,-437400.7168,-453657.2393
1,0.00922,10000,2411.5174,13741.126,61261.2977,-514110.627,-436696.6859,-452849.3293
1,0.00922,11000,2363.3889,13848.8501,61825.5486,-515372.5546,-437334.767,-453547.006
1,0.00922,12000,2335.9433,13756.664,61960.1239,-515179.0169,-437126.2857,-453218.893
1,0.00922,13000,2339.4909,13767.9133,62454.9732,-515084.7173,-436522.3399,-452629.7441
1,0.00922,14000,2376.385,13723.8416,62024.4531,-514607.7769,-436483.0972,-452583.3238
1,0.00922,15000,2384.8975,13840.3795,61881.4658,-515511.0423,-437404.29949999996,-453629.57649999997
1,0.00922,16000,2357.1185,13740.9276,62320.5754,-515472.2624,-437053.6409,-453151.68700000003
1,0.00922,17000,2353.4807,13763.5075,61804.668,-514804.3222,-436882.66599999997,-452999.6542
1,0.00922,18000,2358.8022,13719.567,62090.9914,-515503.444,-437334.0834,-453412.4526
1,0.00922,19000,2364.8033,13752.0476,61668.4497,-514703.5292,-436918.2286,-453035.0795
1,0.00922,20000,2363.0456,13701.7924,61587.8337,-514944.8286,-437292.1569,-453356.9949
1,0.00922,21000,2360.1598,13868.4234,61709.0774,-514532.6045,-436594.9439,-452823.5271
1,0.00922,22000,2359.4543,13815.394,62165.8998,-515549.8159,-437209.06779999996,-453383.9161
1,0.00922,23000,2354.5602,13811.2005,62225.3304,-515395.6403,-437004.5492,-453170.30990000005
1,0.00922,24000,2378.3294,13807.1066,62000.5169,-515546.5019,-437360.549,-453545.985
1,0.00922,25000,2382.337,13703.5153,61866.2577,-515914.0818,-437961.9718,-454047.82409999997
