window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1
1,0.009220,0.023590,-437872.733078,-454074.830958,-1151.306894,-1129.783768,-1151.306894,13959.758967,-1129.783768,14099.219809,-27.159330,-26.651599,0.000000,0.000000
2,0.047940,0.053470,-437917.311681,-454118.576185,-491.896361,-653.881936,-491.896361,5081.825732,-653.881936,5140.052381,-26.301698,-34.963067,72.550208,0.002508
3,0.115050,0.080040,-437924.790470,-454144.031283,-220.400366,-189.749082,-220.400366,3388.229561,-189.749082,3433.176602,-17.640845,-15.187517,154.231510,0.001256
4,0.206340,0.101580,-437952.223099,-454148.632440,1882.746227,2044.850820,1882.746227,2626.013457,2044.850820,2652.317685,191.249362,207.715946,175.487450,20.076682
5,0.316080,0.116750,-437546.301996,-453732.954922,1864.681864,1959.124723,1864.681864,2306.971027,1959.124723,2317.896434,217.701608,228.727811,178.936836,20.076682
6,0.437380,0.124570,-437521.407001,-453695.996264,29.779994,235.849687,29.779994,2156.040474,235.849687,2162.826137,3.709694,29.379795,182.655095,20.076681
7,0.562620,0.124570,-437538.960036,-453674.808541,-43.039589,168.670642,-43.039589,2155.235701,168.670642,2172.820254,-5.361442,21.011302,181.845745,20.076360
8,0.683920,0.116750,-437532.017981,-453654.412204,33.963772,-58.449401,33.963772,2292.780672,-58.449401,2301.364408,3.965270,-6.823968,165.867917,16.350067
9,0.793660,0.101580,-437531.113046,-453688.312690,-294.291033,-361.538546,-294.291033,2643.151076,-361.538546,2652.952161,-29.894083,-36.725085,137.626800,16.350121
10,0.884950,0.080040,-437591.179308,-453727.092298,-589.201186,-487.286561,-589.201186,3415.927244,-487.286561,3428.813424,-47.159663,-39.002416,101.740364,17.013346
11,0.952060,0.053470,-437624.442514,-453765.498882,29.476484,472.747947,29.476484,5008.807115,472.747947,5045.380937,1.576108,25.277833,65.464136,17.013415
12,0.990780,0.023590,-437588.059811,-453677.061382,939.635918,2284.026324,939.635918,13915.140747,2284.026324,13996.966889,22.166011,53.880181,31.769141,38.257541
