lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,240.908465,0.094478,253.152845,0.103053
0.115050,501.089385,0.122634,524.437997,0.129511
0.206340,743.590656,0.142798,780.566521,0.147736
0.316080,936.831276,0.160058,989.237410,0.164777
0.437380,1058.278714,0.176572,1126.034942,0.180336
0.562620,1092.925760,0.190215,1176.250169,0.194209
0.683920,1038.496692,0.203797,1134.757581,0.207721
0.793660,902.862980,0.218188,1009.816225,0.220408
0.884950,704.593762,0.230439,819.925814,0.233325
0.952060,471.317624,0.243625,593.283406,0.247717
0.990780,228.589618,0.263781,358.136368,0.269059
