window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437872.733078,4404.484720,-454074.830958,4565.383639,-1151.306894,13959.758967,-1129.783768,14099.219809,-27.159330,-26.651599,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437917.311681,4405.485521,-454118.576185,4566.542042,-491.896361,5081.825732,-653.881936,5140.052381,-26.301698,-34.963067,240.908465,0.094478,253.152845,0.103053
3,0.115050,0.080040,-437924.790470,4405.608216,-454144.031283,4566.844932,-220.400366,3388.229561,-189.749082,3433.176602,-17.640845,-15.187517,501.089385,0.122634,524.437997,0.129511
4,0.206340,0.101580,-437952.223099,4405.449451,-454148.632440,4566.198514,1882.746227,2626.013457,2044.850820,2652.317685,191.249362,207.715946,743.590656,0.142798,780.566521,0.147736
5,0.316080,0.116750,-437546.301996,4400.585053,-453732.954922,4561.218272,1864.681864,2306.971027,1959.124723,2317.896434,217.701608,228.727811,936.831276,0.160058,989.237410,0.164777
6,0.437380,0.124570,-437521.407001,4400.619687,-453695.996264,4561.286195,29.779994,2156.040474,235.849687,2162.826137,3.709694,29.379795,1058.278714,0.176572,1126.034942,0.180336
7,0.562620,0.124570,-437538.960036,4400.818612,-453674.808541,4560.915920,-43.039589,2155.235701,168.670642,2172.820254,-5.361442,21.011302,1092.925760,0.190215,1176.250169,0.194209
8,0.683920,0.116750,-437532.017981,4400.714876,-453654.412204,4560.703005,33.963772,2292.780672,-58.449401,2301.364408,3.965270,-6.823968,1038.496692,0.203797,1134.757581,0.207721
9,0.793660,0.101580,-437531.113046,4400.964993,-453688.312690,4561.317039,-294.291033,2643.151076,-361.538546,2652.952161,-29.894083,-36.725085,902.862980,0.218188,1009.816225,0.220408
10,0.884950,0.080040,-437591.179308,4401.545909,-453727.092298,4561.646735,-589.201186,3415.927244,-487.286561,3428.813424,-47.159663,-39.002416,704.593762,0.230439,819.925814,0.233325
11,0.952060,0.053470,-437624.442514,4402.390454,-453765.498882,4562.418762,29.476484,5008.807115,472.747947,5045.380937,1.576108,25.277833,471.317624,0.243625,593.283406,0.247717
12,0.990780,0.023590,-437588.059811,4400.979290,-453677.061382,4560.574049,939.635918,13915.140747,2284.026324,13996.966889,22.166011,53.880181,228.589618,0.263781,358.136368,0.269059
