step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2373.134,13856.8272,62226.3146,-516194.9798,-437738.70399999997,-453968.6652
2000,2326.2385,13748.2886,62226.3479,-516009.8809,-437709.0059,-453783.533
3000,2372.5151,13779.3543,62708.5818,-517522.5582,-438662.107,-454813.97640000004
4000,2369.227,13764.6505,61971.8947,-516414.0016,-438308.2294,-454442.1069
5000,2378.4149,13837.351,62419.1898,-516947.2031,-438312.2474,-454528.0133
6000,2381.0664,13859.9874,62395.1782,-516563.0365,-437926.80449999997,-454167.85829999996
7000,2402.1782,13875.802,62246.877,-516390.174,-437865.31680000003,-454143.297
8000,2367.6585,13903.0988,62005.8888,-516249.793,-437973.1469,-454243.9042
9000,2350.3722,13844.3166,62184.652,-516584.9519,-438205.6111,-454400.2999
10000,2335.7796,13894.325,62442.9974,-516576.0846,-437902.9826,-454133.0872
11000,2346.066,13800.2455,61561.5078,-515879.0486,-438171.2293,-454317.54079999996
12000,2350.8861,13787.1004,61978.1356,-515493.4119,-437377.2898,-453515.2763
13000,2376.0956,13803.7868,62025.3402,-516289.5447,-438084.32210000005,-454264.20450000005
14000,2369.6211,13940.9094,62520.7884,-516839.0385,-438007.7196,-454318.2501
15000,2359.1684,13906.9556,62637.2653,-516814.0766,-437910.6873,-454176.81129999994
16000,2389.0615,13807.1602,62086.1571,-515805.7337,-437523.3549,-453719.5766
17000,2368.6794,13907.6317,61933.4585,-515573.7283,-437363.9587,-453640.2698
18000,2418.1861,13916.8504,62194.4973,-516886.8152,-438357.2814,-454692.3179
19000,2365.3547,13841.9728,61334.2704,-515315.5782,-437773.9803,-453981.3078
20000,2332.2329,13801.8381,62005.1727,-516607.4988,-438468.2551,-454602.3261
21000,2366.7685,13782.6613,61717.6962,-515277.8079,-437410.6819,-453560.1117
22000,2370.0186,13864.0972,61826.2617,-515561.795,-437501.4175,-453735.5333
23000,2372.9263,13759.2388,62537.2148,-516340.2754,-437670.8955,-453803.06059999997
24000,2342.7747,13758.8658,61604.8869,-515077.6012,-437371.0738,-453472.7143
25000,2355.7005,13752.9388,62240.4865,-516274.4248,-437925.299,-454033.9383
26000,2354.2677,13786.63,62032.3922,-515693.1205,-437519.8306,-453660.7283
27000,2334.5128,13789.0799,61946.8411,-515004.6437,-436934.2099,-453057.8026
28000,2338.3707,13800.622,61516.2741,-515135.7591,-437480.49230000004,-453619.48500000004
29000,2369.0347,13808.2985,61745.1876,-515559.0305,-437636.5097,-453813.8429
30000,2371.2726,13915.1769,62404.3197,-516039.4869,-437348.71770000004,-453635.1672
31000,2342.6312,13731.7108,61906.71,-515724.4822,-437743.43020000006,-453817.7722
32000,2363.8362,13879.9968,62177.0804,-515946.8257,-437525.91229999997,-453769.7453
33000,2369.9423,13824.7904,62459.5559,-516664.7505,-438010.4619,-454205.19460000005
34000,2349.3884,13750.0795,62426.7593,-516495.6814,-437969.45420000004,-454068.9221
35000,2358.1107,13816.2411,61887.5912,-516045.9335,-437983.99049999996,-454158.34229999996
36000,2383.8935,13835.9379,61648.5774,-516078.4177,-438210.0089,-454429.8403
37000,2355.7076,13833.1248,62140.9038,-516119.9631,-437790.2269,-453979.05929999996
38000,2366.7868,13816.8735,62344.6446,-516431.3214,-437903.0165,-454086.6768
39000,2374.8285,13719.4321,62092.6135,-515908.8146,-437721.94049999997,-453816.2011
40000,2323.6355,13929.9321,62439.0059,-516903.4551,-438210.8816,-454464.44920000003
41000,2335.8033,13909.8472,61928.6028,-515785.9002,-437611.6469,-453857.2974
42000,2391.1813,13807.3662,61978.7553,-516289.0216,-438111.7188,-454310.26629999996
43000,2378.0831,13725.051,61860.1103,-515622.8554,-437659.61100000003,-453762.7451
44000,2389.2488,13841.9756,62185.3816,-516038.3762,-437621.7702,-453852.9946
45000,2393.1465,13805.141,61669.1675,-514608.0206,-436740.5656,-452938.8531
46000,2389.4599,13821.964,62391.5317,-516536.6422,-437933.6866,-454145.1105
47000,2353.2224,13819.7613,62550.5616,-517414.152,-438690.6067,-454863.5904
48000,2357.3885,13803.4924,62131.5084,-516354.1599,-438061.77060000005,-454222.65150000004
49000,2364.0375,13821.6114,62404.6271,-516703.9092,-438113.6332,-454299.2821
50000,2373.0675,13840.8305,61603.6334,-515297.4454,-437479.914,-453693.81200000003
51000,2381.3883,13892.2074,61845.6389,-515735.6357,-437616.4011,-453889.99679999996
52000,2364.3277,13763.477,62165.3403,-516716.0749,-438422.9299,-454550.7346
53000,2368.5236,13809.9297,61584.6601,-515645.0188,-437881.90540000005,-454060.35870000004
54000,2357.2169,13863.7684,62400.6746,-516841.5274,-438219.86750000005,-454440.8528
55000,2358.1299,13940.6095,62636.4331,-516789.6205,-437854.44800000003,-454153.1874
56000,2375.5555,13859.7724,62248.5492,-515725.8279,-437241.9508,-453477.27869999997
57000,2376.501,13937.4598,62383.0645,-516390.3576,-437693.3323,-454007.2931
58000,2361.7251,13813.2614,62015.9012,-515854.037,-437663.14930000005,-453838.1358
59000,2353.1204,13832.8685,62377.4515,-516217.3434,-437653.903,-453839.8919
60000,2363.416,13852.0445,62387.0127,-516294.4975,-437692.0243,-453907.4848
61000,2364.8811,13832.1198,62269.1616,-516022.8651,-437556.70259999996,-453753.7035
62000,2337.442,13737.2744,61950.1829,-515542.5025,-437517.6032,-453592.3196
63000,2386.2961,13879.6892,61614.576,-515519.7361,-437639.1748,-453905.1601
64000,2355.5306,13723.7326,62304.2999,-515870.6081,-437487.04500000004,-453566.3082
65000,2400.646,13902.0957,61359.3427,-515709.5752,-438047.4908,-454350.23250000004
66000,2364.4176,13809.9724,61947.9539,-516015.1145,-437892.77060000005,-454067.1606
67000,2362.4196,13866.3273,62289.0947,-516809.0976,-438291.256,-454520.00289999996
68000,2339.7911,13862.26,61959.4366,-516456.6042,-438295.1165,-454497.1676
69000,2375.7381,13943.0832,62063.4206,-516310.896,-437928.65410000004,-454247.4754
70000,2390.9728,13869.8637,62138.5662,-516565.9734,-438166.57070000004,-454427.4072
71000,2386.1118,13924.5897,61940.7049,-515754.2371,-437502.83070000005,-453813.5322
72000,2346.775,13788.4464,61664.6034,-515683.2836,-437883.4588,-454018.6802
