window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437888.217119,-454506.839474,3808.866090,4787.573088,3808.866090,13616.808723,4787.573088,13716.156182,89.851151,112.938849,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437740.737824,-454321.464644,432.935787,590.487992,432.935787,5009.784244,590.487992,5042.360859,23.149077,31.573393,127.999625,208.698186,63.345782,400.011817
3,0.115050,0.080040,-437842.399525,-454444.348130,-1.827431,-105.248387,-1.827431,3353.549721,-105.248387,3371.031559,-0.146268,-8.424081,190.384426,208.696478,123.003464,79.989975
4,0.206340,0.101580,-437741.027289,-454338.135989,1025.525504,1095.789736,1025.525504,2647.287337,1095.789736,2666.729440,104.172881,111.310321,253.369413,51.726486,181.091648,79.989934
5,0.316080,0.116750,-437636.238133,-454224.061519,833.654984,682.124889,833.654984,2259.937460,682.124889,2283.654527,97.329219,79.638081,308.017005,51.725922,241.624153,79.989934
6,0.437380,0.124570,-437548.419642,-454180.537854,546.234285,442.040821,546.234285,2148.941444,442.040821,2168.219798,68.044405,55.065025,361.598437,51.725922,301.406673,79.989936
7,0.562620,0.124570,-437501.569532,-454115.080775,450.516516,512.798564,450.516516,2147.688193,512.798564,2163.225956,56.120842,63.879317,404.910521,50.091406,358.716887,79.989938
8,0.683920,0.116750,-437437.349300,-454054.112496,258.013614,36.703400,258.013614,2324.599936,36.703400,2351.877358,30.123089,4.285122,427.528195,50.125336,383.329254,10.910113
9,0.793660,0.101580,-437441.958067,-454106.600822,-134.854194,-433.704782,-134.854194,2659.407561,-433.704782,2672.730790,-13.698489,-44.055732,436.051520,50.125382,386.927791,10.910112
10,0.884950,0.080040,-437464.459039,-454141.300168,40.630288,473.080805,40.630288,3368.241861,473.080805,3407.983270,3.252048,37.865388,437.822831,50.125384,383.519300,10.910112
11,0.952060,0.053470,-437435.522229,-454031.664822,114.912804,28.879842,114.912804,4993.561496,28.879842,5041.482151,6.144388,1.544205,433.247687,50.125590,365.434736,32.712440
12,0.990780,0.023590,-437452.297817,-454138.243815,-433.253804,-2752.556628,-433.253804,13712.546219,-2752.556628,13823.046734,-10.220457,-64.932811,422.249279,50.127936,277.931024,0.001250
