lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,257.727545,0.112935,256.306331,0.099696
0.115050,525.223480,0.137305,521.611746,0.126367
0.206340,776.599364,0.156391,768.820538,0.147103
0.316080,982.356688,0.172583,968.810677,0.163546
0.437380,1120.490330,0.185868,1099.612607,0.178806
0.562620,1177.040204,0.199500,1147.482648,0.193515
0.683920,1146.328151,0.211286,1108.245916,0.205981
0.793660,1036.474301,0.224026,990.376536,0.217762
0.884950,865.755731,0.235245,810.348914,0.229940
0.952060,658.875950,0.247807,594.925039,0.243597
0.990780,445.440478,0.265383,373.155074,0.264763
