window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437888.217119,4404.170972,-454506.839474,4569.133893,3808.866090,13616.808723,4787.573088,13716.156182,89.851151,112.938849,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437740.737824,4402.453703,-454321.464644,4567.059289,432.935787,5009.784244,590.487992,5042.360859,23.149077,31.573393,257.727545,0.112935,256.306331,0.099696
3,0.115050,0.080040,-437842.399525,4404.088084,-454444.348130,4568.816286,-1.827431,3353.549721,-105.248387,3371.031559,-0.146268,-8.424081,525.223480,0.137305,521.611746,0.126367
4,0.206340,0.101580,-437741.027289,4402.626013,-454338.135989,4567.566417,1025.525504,2647.287337,1095.789736,2666.729440,104.172881,111.310321,776.599364,0.156391,768.820538,0.147103
5,0.316080,0.116750,-437636.238133,4401.790662,-454224.061519,4566.533421,833.654984,2259.937460,682.124889,2283.654527,97.329219,79.638081,982.356688,0.172583,968.810677,0.163546
6,0.437380,0.124570,-437548.419642,4400.254141,-454180.537854,4565.419398,546.234285,2148.941444,442.040821,2168.219798,68.044405,55.065025,1120.490330,0.185868,1099.612607,0.178806
7,0.562620,0.124570,-437501.569532,4400.511319,-454115.080775,4565.314615,450.516516,2147.688193,512.798564,2163.225956,56.120842,63.879317,1177.040204,0.199500,1147.482648,0.193515
8,0.683920,0.116750,-437437.349300,4399.733449,-454054.112496,4564.719004,258.013614,2324.599936,36.703400,2351.877358,30.123089,4.285122,1146.328151,0.211286,1108.245916,0.205981
9,0.793660,0.101580,-437441.958067,4400.167348,-454106.600822,4565.665843,-134.854194,2659.407561,-433.704782,2672.730790,-13.698489,-44.055732,1036.474301,0.224026,990.376536,0.217762
10,0.884950,0.080040,-437464.459039,4400.263727,-454141.300168,4565.732309,40.630288,3368.241861,473.080805,3407.983270,3.252048,37.865388,865.755731,0.235245,810.348914,0.229940
11,0.952060,0.053470,-437435.522229,4399.780750,-454031.664822,4564.459638,114.912804,4993.561496,28.879842,5041.482151,6.144388,1.544205,658.875950,0.247807,594.925039,0.243597
12,0.990780,0.023590,-437452.297817,4399.650356,-454138.243815,4565.342508,-433.253804,13712.546219,-2752.556628,13823.046734,-10.220457,-64.932811,445.440478,0.265383,373.155074,0.264763
