window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2396.5255,14277.3443,62190.7335,-517129.6761,-438265.07279999997,-454938.94259999995
1,0.00922,2000,2411.1615,14310.6362,62049.3431,-516774.2878,-438003.147,-454724.9447
1,0.00922,3000,2388.2691,14318.1452,61787.2548,-516935.9389,-438442.2698,-455148.6841
1,0.00922,4000,2411.1875,14291.2294,61805.8516,-516541.6174,-438033.3489,-454735.7658
1,0.00922,5000,2402.2338,14389.2123,62142.6089,-517014.5515,-438080.4965,-454871.9426
1,0.00922,6000,2354.6188,14194.2495,62520.3007,-517391.987,-438322.818,-454871.6863
1,0.00922,7000,2371.5248,14261.412,62148.8273,-516876.5387,-438094.7746,-454727.7114
1,0.00922,8000,2359.0777,14269.1365,62268.0587,-517231.5025,-438335.22959999996,-454963.4438
1,0.00922,9000,2357.4661,14296.1811,61976.4043,-516534.7448,-437904.6933,-454558.3405
1,0.00922,10000,2357.996,14271.7588,61876.884,-517112.7785,-438606.1397,-455235.8945
1,0.00922,11000,2371.3122,14210.8203,61981.3539,-517175.073,-438611.5866,-455193.7191
1,0.00922,12000,2356.9804,14241.7695,62504.8846,-518048.3524,-438944.7179,-455543.4678
1,0.00922,13000,2380.4064,14243.5967,61882.1058,-516876.1428,-438370.0339,-454994.03699999995
1,0.00922,14000,2370.613,14176.9078,62117.0643,-516570.0928,-437905.50769999996,-454453.0285
1,0.00922,15000,2404.4049,14203.7339,61664.7624,-516167.9716,-437895.07039999997,-454503.2092
1,0.00922,16000,2392.5877,14340.3778,61967.7823,-516400.6466,-437699.89879999997,-454432.86429999996
1,0.00922,17000,2404.3811,14258.7462,61520.2609,-515798.1188,-437614.7306,-454277.8579
1,0.00922,18000,2370.2801,14248.8549,61708.9494,-515670.9419,-437342.8575,-453961.9925
1,0.00922,19000,2380.3368,14337.4934,62167.5062,-516601.3196,-437715.9832,-454433.8134
1,0.00922,20000,2382.3288,14290.1348,62031.6032,-516554.7979,-437850.7311,-454523.1947
1,0.00922,21000,2380.7994,14252.4514,61983.2558,-516484.435,-437867.9284,-454501.1792
1,0.00922,22000,2350.7055,14263.0258,61605.0457,-515819.6735,-437600.8965,-454214.62779999996
1,0.00922,23000,2401.0369,14284.9572,61874.2412,-516263.1703,-437702.935,-454388.9291
1,0.00922,24000,2359.0438,14330.0001,62075.9481,-516122.5783,-437357.58629999997,-454046.6302
1,0.00922,25000,2391.4363,14276.6468,62009.9586,-516575.0537,-437897.012,-454565.0951
1,0.00922,26000,2392.2871,14261.1147,62392.1835,-517459.7578,-438414.1725,-455067.57430000004
1,0.00922,27000,2394.8177,14227.218,62053.7749,-516737.4401,-438061.62950000004,-454683.6652
1,0.00922,28000,2377.2714,14149.2431,61876.3793,-516463.9754,-438061.0816,-454587.59609999997
1,0.00922,29000,2408.3458,14303.8348,61812.3812,-516377.948,-437853.38619999995,-454565.5668
1,0.00922,30000,2366.8104,14228.7201,62143.8244,-516597.6295,-437858.2746,-454453.8051
1,0.00922,31000,2412.7582,14283.1778,62200.1096,-516954.68,-438058.6344,-454754.57039999997
1,0.00922,32000,2390.813,14250.0682,61630.876,-515501.4661,-437229.7089,-453870.59010000003
1,0.00922,33000,2394.629,14298.3426,61517.3342,-515556.0862,-437345.78040000005,-454038.75200000004
1,0.00922,34000,2358.0269,14214.8023,62402.8267,-516656.8974,-437681.2415,-454254.07070000004
1,0.00922,35000,2389.4441,14183.8906,61588.6462,-515703.025,-437541.04410000006,-454114.3788
1,0.00922,36000,2424.7392,14340.4245,61641.422,-516052.9377,-437646.352,-454411.5157
1,0.00922,37000,2395.841,14169.3131,62055.2169,-516776.8735,-438156.5025,-454721.6566
1,0.00922,38000,2370.9337,14322.0661,61386.1585,-515810.8712,-437731.7129,-454424.7127
1,0.00922,39000,2404.8599,14182.6488,61554.2563,-515270.7374,-437128.97239999997,-453716.4811
1,0.00922,40000,2387.605,14273.0358,61656.8141,-515763.588,-437446.1331,-454106.7739
1,0.00922,41000,2410.3318,14321.2029,61916.7625,-516861.4446,-438213.1474,-454944.6821
1,0.00922,42000,2394.2786,14333.1449,62038.2415,-516561.3382,-437795.6732,-454523.0967
1,0.00922,43000,2402.5705,14290.5851,61647.0998,-516067.3985,-437727.1431,-454420.2987
1,0.00922,44000,2355.1497,14297.8941,61549.7347,-515737.1183,-437534.33979999996,-454187.38359999994
1,0.00922,45000,2385.165,14249.5735,61515.5578,-515839.1546,-437688.8583,-454323.5968
1,0.00922,46000,2395.9192,14218.1231,61867.119,-516606.8307,-438125.6694,-454739.7117
1,0.00922,47000,2405.4576,14411.9333,62127.6214,-516518.357,-437573.3447,-454390.7356
1,0.00922,48000,2387.9837,14239.9175,61692.4069,-516512.5041,-438192.196,-454820.0972
1,0.00922,49000,2356.3247,14116.4272,62154.4986,-516546.1187,-437918.8682,-454391.6201
1,0.00922,50000,2405.1379,14273.0508,61948.9048,-516634.7405,-438007.647,-454685.8357
1,0.00922,51000,2391.8244,14225.856,61677.5029,-516011.4817,-437716.29839999997,-454333.9788
1,0.00922,52000,2397.8097,14260.7255,62423.6913,-517100.4621,-438018.2356,-454676.7708
1,0.00922,53000,2379.0053,14214.7634,62417.0762,-516647.5312,-437636.68630000006,-454230.455
1,0.00922,54000,2366.4193,14230.1807,61669.6612,-516082.2827,-437816.0215,-454412.6215
1,0.00922,55000,2363.9047,14227.0408,61772.0798,-516471.4473,-438108.422,-454699.3675
1,0.00922,56000,2380.2828,14170.0553,61850.0519,-516439.86,-438039.47,-454589.80809999997
1,0.00922,57000,2334.5497,14256.3434,62511.1936,-517512.3327,-438410.24600000004,-455001.13910000003
1,0.00922,58000,2367.8512,14242.2108,62220.0972,-517009.1628,-438179.0036,-454789.0656
1,0.00922,59000,2380.0114,14220.1053,62259.458,-517231.6359,-438372.0612,-454972.1779
1,0.00922,60000,2392.0811,14258.1547,62120.1004,-516314.6078,-437544.2716,-454194.5074
1,0.00922,61000,2390.9267,14230.2717,61744.6622,-515800.258,-437434.39739999996,-454055.59579999995
1,0.00922,62000,2421.324,14283.6381,61813.3307,-516368.1172,-437849.8244,-454554.7865
1,0.00922,63000,2391.6443,14222.3732,61870.4006,-517023.4047,-438538.9866,-455153.0041
1,0.00922,64000,2374.1794,14217.447,61846.3737,-516932.5587,-438494.5586,-455086.185
1,0.00922,65000,2367.8423,14202.0503,61563.8404,-515899.6394,-437765.9064,-454335.799
1,0.00922,66000,2402.8314,14395.1555,61710.7878,-515461.1739,-436952.3992,-453750.3861
1,0.00922,67000,2399.3006,14304.4088,61623.7563,-515615.075,-437287.6093,-453991.3187
1,0.00922,68000,2420.4496,14328.037,62032.8133,-516064.8275,-437283.52760000003,-454032.01420000003
1,0.00922,69000,2391.5692,14224.0522,61431.1724,-515572.7354,-437525.9416,-454141.563
1,0.00922,70000,2388.9547,14252.9458,61676.783,-515904.4767,-437585.7932,-454227.6937
1,0.00922,71000,2385.2918,14290.4407,61995.1585,-516649.3579,-437978.4669,-454654.1994
1,0.00922,72000,2409.0934,14297.3218,61749.1809,-516251.277,-437795.68090000004,-454502.0961
1,0.00922,73000,2392.5538,14319.1824,62185.7568,-516303.0674,-437405.5744,-454117.31059999997
1,0.00922,74000,2404.4803,14278.7694,62092.1291,-516499.1414,-437723.7626,-454407.0123
1,0.00922,75000,2366.8229,14259.541,61789.8891,-516246.3298,-437830.07680000004,-454456.44070000004
1,0.00922,76000,2367.1891,14260.6576,61906.1284,-515968.8218,-437434.8467,-454062.6934
1,0.00922,77000,2381.9593,14165.1716,61835.1858,-515911.9647,-437529.64800000004,-454076.77890000003
1,0.00922,78000,2322.417,14227.3439,61925.8818,-516038.6426,-437562.99990000005,-454112.76080000005
1,0.00922,79000,2358.7776,14211.7476,61875.6361,-515845.4823,-437399.321,-453969.84619999997
1,0.00922,80000,2358.5659,14267.2273,62240.1648,-516868.0461,-438002.0881,-454627.8813
1,0.00922,81000,2367.5187,14250.4207,62058.4321,-516540.4934,-437864.12189999997,-454482.0613
1,0.00922,82000,2399.6514,14290.1293,61806.5315,-516513.5019,-438017.1897,-454706.9704
1,0.00922,83000,2399.9533,14276.3788,62084.3969,-516394.7668,-437634.0378,-454310.3699
1,0.00922,84000,2373.2026,14285.2422,61941.9267,-516816.7842,-438216.4127,-454874.8575
1,0.00922,85000,2344.4851,14241.4943,62224.9867,-516242.8559,-437431.8898,-454017.8692
1,0.00922,86000,2427.6255,14353.0455,61490.4573,-515485.1144,-437213.9861,-453994.6571
1,0.00922,87000,2359.7174,14253.1445,61711.3496,-515702.2977,-437378.0862,-453990.9481
1,0.00922,88000,2416.7162,14226.6511,61859.1896,-516368.5758,-437866.0189,-454509.3862
1,0.00922,89000,2386.0774,14214.0756,62029.9223,-516368.0818,-437738.0065,-454338.1595
1,0.00922,90000,2353.8873,14191.2855,62138.4697,-516443.2181,-437759.5756,-454304.7484
1,0.00922,91000,2396.9846,14284.1713,61722.1839,-516585.6374,-438182.2976,-454863.4535
1,0.00922,92000,2382.0057,14347.7779,62068.9919,-517321.4904,-438522.7149,-455252.4985
1,0.00922,93000,2380.7316,14334.1034,62177.7164,-517236.2561,-438343.7047,-455058.5397
1,0.00922,94000,2356.5088,14154.391,62118.7482,-516937.2844,-438307.6364,-454818.5362
1,0.00922,95000,2353.9544,14212.4452,61371.8039,-515847.6716,-437909.4681,-454475.8677
1,0.00922,96000,2378.4731,14275.9992,61413.549,-515662.9473,-437594.926,-454249.3983
1,0.00922,97000,2372.954,14342.2435,61596.2675,-516013.8352,-437702.3702,-454417.56769999996
1,0.00922,98000,2360.9522,14282.5012,62301.9903,-517295.9577,-438350.514,-454993.9674
1,0.00922,99000,2394.4298,14251.5063,62336.7177,-516719.6687,-437737.01489999995,-454382.951
1,0.00922,100000,2373.4984,14214.9585,61643.1569,-516403.1942,-438171.58040000004,-454760.0373
1,0.00922,101000,2353.4898,14303.6461,62390.1559,-517429.4984,-438382.2066,-455039.34249999997
1,0.00922,102000,2375.6403,14285.0516,61931.3423,-516171.7136,-437579.6794,-454240.3713
1,0.00922,103000,2389.7234,14310.98,61719.8594,-516346.4159,-437925.8531,-454626.5565
1,0.00922,104000,2395.7781,14220.2339,61826.2938,-516586.5325,-438144.2267,-454760.2387
1,0.00922,105000,2385.2741,14158.1516,61901.2239,-516737.0484,-438292.3988,-454835.82450000005
1,0.00922,106000,2402.3296,14323.5576,61743.1629,-516163.3203,-437694.2702,-454420.1574
1,0.00922,107000,2376.16,14300.8785,62291.5451,-517516.8457,-438548.2621,-455225.3006
