step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2403.4259,14261.3913,61769.6784,-515240.9335,-436806.4379,-453471.2551
2000,2370.338,14259.8415,62024.2664,-515759.4987,-437105.0528,-453735.2323
3000,2374.1656,14235.5948,61541.9899,-515281.9083,-437130.158,-453739.9184
4000,2370.3036,14312.8855,61851.291,-516100.0255,-437565.5454,-454248.7345
5000,2392.5036,14335.6041,61894.8402,-515334.5162,-436711.56830000004,-453439.67600000004
6000,2384.0115,14189.5754,62088.9519,-515955.8525,-437293.3137,-453866.9006
7000,2396.5375,14264.7087,62162.1036,-516227.8048,-437404.45499999996,-454065.7012
8000,2376.4886,14283.1279,62286.0126,-516127.9248,-437182.29569999996,-453841.91219999996
9000,2320.1779,14323.5784,61742.8908,-515559.7204,-437173.0733,-453816.8296
10000,2340.2612,14305.3011,62526.9621,-516925.6902,-437753.1658,-454398.7281
11000,2365.5096,14287.153,61322.6839,-514997.1041,-437021.7576,-453674.4202
12000,2355.2823,14339.0291,61642.1141,-515757.1793,-437420.7538,-454115.0652
13000,2370.4028,14356.5523,62240.2281,-515839.449,-436872.26580000005,-453599.2209
14000,2399.7289,14291.2986,61875.3093,-515722.2646,-437155.9278,-453846.9553
15000,2352.9046,14244.3508,62382.7201,-516608.1182,-437628.1427,-454225.39810000005
16000,2390.0746,14244.7876,62034.2947,-515823.8945,-437154.7376,-453789.59979999997
17000,2368.301,14261.3264,61560.0478,-515432.8251,-437243.1499,-453872.7773
18000,2395.1512,14340.5463,61725.9138,-515843.4019,-437381.7906,-454117.4881
19000,2376.3899,14335.7146,62131.896,-516154.5899,-437310.58940000006,-454022.6939
20000,2398.3339,14346.0677,62218.6626,-516695.1311,-437732.0669,-454476.4685
21000,2361.0326,14365.9442,62367.9274,-516341.7732,-437246.869,-453973.8458
22000,2393.0079,14376.6466,61573.5118,-514891.0106,-436547.8443,-453317.4988
23000,2380.9134,14213.0143,61844.5153,-515724.5554,-437286.1124,-453880.0401
24000,2385.9585,14392.4788,62134.1633,-516148.4771,-437235.8765,-454014.3138
25000,2375.778,14199.0386,61924.987,-515234.0558,-436734.2522,-453309.06879999995
26000,2361.3019,14192.9691,61813.6657,-516035.2539,-437667.31720000005,-454221.5882
27000,2389.4486,14245.3554,62096.3102,-516011.401,-437280.2868,-453915.0908
28000,2360.4457,14327.1167,61458.4622,-515550.8211,-437404.7965,-454092.3589
29000,2395.6957,14270.0152,62380.1586,-516187.9294,-437142.0599,-453807.7708
30000,2369.9099,14275.621,62268.9211,-516532.3783,-437617.9263,-454263.4572
31000,2394.8442,14314.3303,61757.8617,-516178.4426,-437711.4064,-454420.5809
32000,2358.0725,14281.463,62287.1344,-516634.0162,-437707.3463,-454346.88180000003
33000,2361.3722,14191.5655,61879.2587,-515483.2068,-437051.01039999997,-453603.9481
34000,2365.7369,14302.5817,61887.8797,-515820.6534,-437264.4551,-453932.7737
35000,2393.7643,14250.9295,62290.4075,-516464.5086,-437529.40729999996,-454174.10109999997
36000,2378.5013,14265.964,62349.2559,-516503.6364,-437509.91520000005,-454154.3805
37000,2374.5899,14241.1748,61989.5988,-515859.0007,-437253.6372,-453869.4019
38000,2404.8821,14290.4465,61461.5459,-515161.7713,-437004.8968,-453700.2254
39000,2380.2793,14256.8809,61845.3906,-516197.154,-437714.6032,-454351.7634
40000,2406.5273,14192.2611,61949.5477,-516780.4726,-438232.13649999996,-454830.9249
41000,2370.2382,14267.9157,62234.5337,-516433.4741,-437560.7865,-454198.94039999996
42000,2392.2476,14155.407,62294.6007,-516653.2904,-437811.0351,-454358.6897
43000,2402.1044,14290.0798,61965.2514,-516248.5792,-437591.14359999995,-454283.32779999997
44000,2380.3982,14319.6846,62000.1165,-516661.2281,-437961.02880000003,-454661.1116
45000,2373.5821,14171.6512,62181.6691,-516243.4082,-437516.50580000004,-454061.7391
46000,2368.5669,14198.921,62145.4692,-516377.9406,-437664.9835,-454232.4714
47000,2393.6507,14176.0094,61969.9145,-516420.6067,-437881.0321,-454450.6922
48000,2397.9747,14269.3328,61635.9457,-515219.6736,-436916.4204,-453583.7279
49000,2381.5369,14274.3925,61780.7717,-515781.3356,-437344.6345,-454000.5639
50000,2388.0007,14257.8668,61834.6301,-515935.611,-437455.1134,-454100.98089999997
51000,2370.8832,14321.5186,61754.0823,-515549.0502,-437102.5661,-453794.9679
52000,2372.3372,14294.9431,61768.9895,-515377.2708,-436941.001,-453608.2813
53000,2400.7091,14219.4686,62273.4167,-516278.1518,-437384.5574,-454004.7351
54000,2391.5015,14175.3785,62019.8556,-515809.6578,-437222.9222,-453789.8022
55000,2365.741,14169.8574,61903.0418,-516011.0849,-437572.4447,-454108.0431
56000,2371.5201,14249.5827,61915.7985,-516296.8525,-437759.9512,-454381.054
57000,2381.0272,14194.7077,61709.5846,-516456.53,-438171.21050000004,-454746.9454
58000,2388.0316,14195.195,62146.4238,-516294.1527,-437564.5023,-454147.7289
59000,2395.5099,14229.2171,62366.031,-515987.0986,-436996.3406,-453621.0676
60000,2367.1424,14376.9181,62305.2947,-516423.378,-437374.02280000004,-454118.08330000006
61000,2400.5511,14274.5165,61974.4295,-515964.6921,-437315.195,-453990.2626
62000,2378.0368,14193.1729,62177.8312,-516344.1155,-437595.07460000005,-454166.2843
63000,2390.0623,14210.0972,62028.2624,-515981.0406,-437352.6187,-453952.7782
64000,2381.7891,14181.0766,61824.868,-516298.9735,-437911.2398,-454474.1055
65000,2377.2156,14257.536,61704.7307,-515814.7208,-437475.2385,-454109.9901
66000,2356.0122,14191.0408,61657.491,-515501.7278,-437297.1838,-453844.2368
67000,2356.1394,14203.2816,61645.4151,-514767.0072,-436562.1711,-453121.5921
68000,2346.0234,14234.3369,61833.1682,-515286.5114,-436872.9829,-453453.3432
69000,2348.5352,14272.6738,62519.9302,-516436.885,-437295.74580000003,-453916.9548
70000,2375.2575,14184.3034,61785.9103,-515053.3966,-436707.92539999995,-453267.4863
71000,2416.0758,14268.4559,62022.9175,-515637.8621,-436930.4129,-453614.94460000005
72000,2375.2145,14223.1256,62645.9481,-517842.1927,-438597.9045,-455196.24460000003
73000,2365.3928,14348.0131,61819.2928,-516111.9989,-437579.3002,-454292.7061
74000,2378.2729,14164.4965,61749.3376,-515611.1196,-437319.0126,-453861.782
