window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1
1,0.009220,0.023590,-437781.851899,-454469.582461,1223.433467,1146.435877,1223.433467,13575.349861,1146.435877,13756.893839,28.860795,27.044422,0.000000,0.000000
2,0.047940,0.053470,-437734.480555,-454425.192464,-7.793307,101.688326,-7.793307,5034.828135,101.688326,5068.508363,-0.416708,5.437275,39.332460,3.574071
3,0.115050,0.080040,-437782.676664,-454458.820786,-250.307958,-385.453630,-250.307958,3341.729725,-385.453630,3402.749032,-20.034649,-30.851709,92.354908,3.574096
4,0.206340,0.101580,-437774.129335,-454486.248319,444.594605,125.212848,444.594605,2644.216517,125.212848,2660.918821,45.161920,12.719121,159.171103,3.575117
5,0.316080,0.116750,-437693.299811,-454433.649247,770.511597,932.881616,770.511597,2306.777123,932.881616,2333.589618,89.957229,108.913929,225.005830,21.740978
6,0.437380,0.124570,-437596.110336,-454270.715350,692.628973,781.923711,692.628973,2150.257246,781.923711,2172.586999,86.280791,97.404237,282.732058,21.741216
7,0.562620,0.124570,-437522.539064,-454240.873775,507.198094,376.637838,507.198094,2163.310935,376.637838,2184.243471,63.181667,46.917775,324.754706,7.833391
8,0.683920,0.116750,-437471.065718,-454177.859058,226.469123,344.028714,226.469123,2279.165940,344.028714,2297.100053,26.440270,40.165352,345.775595,7.795434
9,0.793660,0.101580,-437470.215638,-454161.389381,-100.005291,-75.321480,-100.005291,2629.123194,-75.321480,2648.647888,-10.158537,-7.651156,351.938947,7.745787
10,0.884950,0.080040,-437491.169781,-454193.000935,-249.950206,-333.264145,-249.950206,3335.264268,-333.264145,3346.802384,-20.006014,-26.674462,347.018418,7.745786
11,0.952060,0.053470,-437509.807750,-454214.178422,120.124305,89.810027,120.124305,5032.394063,89.810027,5063.459116,6.423047,4.802142,335.269993,7.747572
12,0.990780,0.023590,-437478.457026,-454183.496340,809.677788,792.409143,809.677788,13626.463505,792.409143,13688.639317,19.100299,18.692932,325.585122,7.747574
