lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,242.933296,0.105470,244.674872,0.097060
0.115050,497.332585,0.131636,499.482310,0.122243
0.206340,734.727052,0.149819,737.949675,0.143722
0.316080,924.781379,0.165709,928.204746,0.161802
0.437380,1045.075216,0.180737,1047.810380,0.177941
0.562620,1083.298707,0.194785,1084.453423,0.191964
0.683920,1036.624317,0.207625,1035.496253,0.206770
0.793660,910.958042,0.219505,906.613557,0.219293
0.884950,724.634588,0.231620,717.035697,0.231268
0.952060,506.545635,0.244038,493.412527,0.244408
0.990780,282.085403,0.264224,264.693636,0.261706
