window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437781.851899,4403.405462,-454469.582461,4569.001262,1223.433467,13575.349861,1146.435877,13756.893839,28.860795,27.044422,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437734.480555,4402.571440,-454425.192464,4568.680658,-7.793307,5034.828135,101.688326,5068.508363,-0.416708,5.437275,242.933296,0.105470,244.674872,0.097060
3,0.115050,0.080040,-437782.676664,4402.987781,-454458.820786,4568.527822,-250.307958,3341.729725,-385.453630,3402.749032,-20.034649,-30.851709,497.332585,0.131636,499.482310,0.122243
4,0.206340,0.101580,-437774.129335,4403.266881,-454486.248319,4569.306984,444.594605,2644.216517,125.212848,2660.918821,45.161920,12.719121,734.727052,0.149819,737.949675,0.143722
5,0.316080,0.116750,-437693.299811,4402.357586,-454433.649247,4568.659071,770.511597,2306.777123,932.881616,2333.589618,89.957229,108.913929,924.781379,0.165709,928.204746,0.161802
6,0.437380,0.124570,-437596.110336,4401.209621,-454270.715350,4566.792197,692.628973,2150.257246,781.923711,2172.586999,86.280791,97.404237,1045.075216,0.180737,1047.810380,0.177941
7,0.562620,0.124570,-437522.539064,4400.617627,-454240.873775,4566.696608,507.198094,2163.310935,376.637838,2184.243471,63.181667,46.917775,1083.298707,0.194785,1084.453423,0.191964
8,0.683920,0.116750,-437471.065718,4399.957663,-454177.859058,4565.761314,226.469123,2279.165940,344.028714,2297.100053,26.440270,40.165352,1036.624317,0.207625,1035.496253,0.206770
9,0.793660,0.101580,-437470.215638,4400.157945,-454161.389381,4565.864790,-100.005291,2629.123194,-75.321480,2648.647888,-10.158537,-7.651156,910.958042,0.219505,906.613557,0.219293
10,0.884950,0.080040,-437491.169781,4400.116352,-454193.000935,4565.984392,-249.950206,3335.264268,-333.264145,3346.802384,-20.006014,-26.674462,724.634588,0.231620,717.035697,0.231268
11,0.952060,0.053470,-437509.807750,4400.349551,-454214.178422,4566.164235,120.124305,5032.394063,89.810027,5063.459116,6.423047,4.802142,506.545635,0.244038,493.412527,0.244408
12,0.990780,0.023590,-437478.457026,4400.439523,-454183.496340,4566.191481,809.677788,13626.463505,792.409143,13688.639317,19.100299,18.692932,282.085403,0.264224,264.693636,0.261706
