window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2404.2299,14268.4405,61680.928,-516107.6637,-437754.06529999996,-454426.73569999996
1,0.00922,2000,2390.9753,14263.8944,61670.0772,-515697.5007,-437372.5538,-454027.4235
1,0.00922,3000,2426.4576,14188.8445,62362.554,-516800.6061,-437822.75,-454438.0521
1,0.00922,4000,2402.7067,14349.1658,61301.4327,-515609.0267,-437555.7215,-454307.594
1,0.00922,5000,2397.3394,14364.9697,61964.8195,-516716.2799,-437989.1513,-454751.46040000004
1,0.00922,6000,2417.1115,14316.1365,61706.8711,-515820.5553,-437380.4362,-454113.6842
1,0.00922,7000,2383.4845,14351.2703,61586.0618,-515949.9553,-437629.13869999995,-454363.89349999995
1,0.00922,8000,2402.2127,14237.5758,61456.0303,-515599.6319,-437503.81309999997,-454143.6016
1,0.00922,9000,2395.9915,14304.2637,62212.6577,-516686.1789,-437773.266,-454473.5212
1,0.00922,10000,2391.0898,14370.6794,62164.0244,-516517.5233,-437591.7297,-454353.4989
1,0.00922,11000,2374.1733,14345.2356,62180.5767,-516245.6021,-437345.6165,-454065.02540000004
1,0.00922,12000,2393.0665,14329.6284,62010.5897,-516723.2424,-437989.9578,-454712.6527
1,0.00922,13000,2373.249,14325.4685,61751.1404,-516141.049,-437691.1911,-454389.9086
1,0.00922,14000,2351.7764,14271.7295,61437.43,-515856.3251,-437795.38920000003,-454418.8951
1,0.00922,15000,2406.7704,14273.5797,62517.4491,-516593.1054,-437395.3062,-454075.65630000003
1,0.00922,16000,2350.0553,14303.9865,61463.0148,-515640.6746,-437523.618,-454177.6598
1,0.00922,17000,2403.2331,14223.6803,62308.7753,-516982.8031,-438047.1144,-454674.02780000004
1,0.00922,18000,2388.6528,14254.4795,61707.6794,-515826.6509,-437475.83920000005,-454118.9715
1,0.00922,19000,2394.228,14279.315,61750.0305,-516068.4036,-437644.8301,-454318.3731
1,0.00922,20000,2401.4949,14219.3654,61842.9991,-516373.9477,-437910.0883,-454530.9486
1,0.00922,21000,2389.6168,14221.9947,62211.0598,-516530.2574,-437707.5861,-454319.1976
1,0.00922,22000,2405.8239,14358.1816,61656.9998,-516831.9239,-438410.9186,-455174.9241
1,0.00922,23000,2381.76,14302.7584,61665.224,-515511.8232,-437162.0808,-453846.5992
1,0.00922,24000,2413.475,14288.6665,62288.6065,-517225.5051,-438234.75710000005,-454936.8986
1,0.00922,25000,2392.2672,14313.2446,61834.6309,-516209.7664,-437669.6237,-454375.13550000003
1,0.00922,26000,2431.3048,14330.0932,62062.5242,-516174.67,-437350.7478,-454112.1458
1,0.00922,27000,2412.4033,14288.5368,62385.1443,-516728.9888,-437642.9044,-454343.8445
1,0.00922,28000,2428.6382,14341.3654,61769.7211,-516541.1743,-438001.4496,-454771.4532
1,0.00922,29000,2372.0591,14109.9731,62594.3267,-517385.9378,-438309.5789,-454791.61110000004
1,0.00922,30000,2399.315,14304.4362,62010.0034,-516989.7216,-438275.967,-454979.7182
1,0.00922,31000,2421.9498,14349.4405,61656.5698,-516324.0984,-437896.1383,-454667.5286
1,0.00922,32000,2388.9466,14316.2955,61933.2933,-516141.1422,-437502.6068,-454207.8489
1,0.00922,33000,2399.6523,14193.3414,62071.1753,-516224.7901,-437560.6211,-454153.6148
1,0.00922,34000,2422.4701,14296.385,62132.7843,-516403.0707,-437551.4313,-454270.2864
1,0.00922,35000,2375.4148,14282.5676,61869.5654,-515664.8048,-437137.257,-453795.23939999996
1,0.00922,36000,2389.3048,14267.3425,62193.8865,-516673.2475,-437822.71369999996,-454479.361
1,0.00922,37000,2369.4978,14337.0989,61815.2533,-516630.9617,-438109.1117,-454815.7084
1,0.00922,38000,2372.8599,14186.2628,62253.9764,-516575.6937,-437762.5946,-454321.7173
1,0.00922,39000,2378.1508,14313.1798,61930.5222,-516666.5432,-438044.6904,-454736.021
1,0.00922,40000,2377.0434,14246.2311,61805.0377,-516154.2873,-437725.97510000004,-454349.24960000004
1,0.00922,41000,2409.133,14286.7915,62256.8339,-516447.9006,-437495.1422,-454191.06669999997
1,0.00922,42000,2363.898,14255.519,61939.5595,-515857.1551,-437298.1786,-453917.5956
