step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2402.3258,14281.094,62032.7482,-516770.901,-438054.733,-454738.15280000004
2000,2381.0589,14390.2224,62804.5973,-517383.1512,-437807.2726,-454578.5539
3000,2395.4365,14297.6288,62359.1484,-516665.887,-437613.6733,-454306.7386
4000,2391.5433,14230.6291,62077.8447,-516747.0041,-438046.987,-454669.1594
5000,2375.7919,14230.9102,61946.587,-515896.661,-437343.3719,-453950.074
6000,2358.4184,14381.0407,61851.5108,-515123.4973,-436532.5274,-453271.9865
7000,2401.5778,14242.1368,61923.9606,-515649.9066,-437082.2314,-453725.946
8000,2389.88,14287.2857,61963.047,-516234.3933,-437594.18059999996,-454271.3463
9000,2362.9806,14297.1681,61795.7458,-515958.8685,-437502.974,-454163.1227
10000,2388.4672,14115.4134,61535.6886,-514937.0532,-436897.48400000005,-453401.36460000003
11000,2391.6264,14264.4412,61979.0858,-515564.7673,-436929.6139,-453585.6815
12000,2405.3186,14354.5047,62029.1926,-516094.6506,-437305.6347,-454065.458
13000,2363.4,14254.7054,62055.6686,-516753.2421,-438079.46809999994,-454697.5735
14000,2389.1135,14326.2202,62633.0917,-517005.3185,-437656.8931,-454372.2268
15000,2364.4937,14258.621,61587.165,-516014.5582,-437804.2785,-454427.39320000005
16000,2385.8953,14235.0026,61544.7542,-516010.4887,-437844.8366,-454465.73449999996
17000,2376.0849,14253.7441,62037.2451,-515472.197,-436805.12289999996,-453434.9519
18000,2387.0082,14323.0196,62147.3357,-515991.3139,-437133.9504,-453843.9782
19000,2427.2944,14303.0366,61953.3319,-516203.3346,-437519.6717,-454250.0027
20000,2410.4239,14321.8548,61559.4261,-515388.654,-437096.9492,-453829.2279
21000,2363.9116,14213.8603,62136.8196,-516422.7344,-437708.1429,-454285.9148
22000,2415.7044,14342.0915,61979.5878,-516472.2198,-437734.8361,-454492.63200000004
23000,2358.0283,14224.0051,61762.0396,-516350.3959,-438006.3229,-454588.3563
24000,2417.3594,14287.3142,61816.1078,-516151.4382,-437630.6568,-454335.3304
25000,2402.8633,14198.7378,62107.243,-516795.1163,-438086.2722,-454687.8733
26000,2382.8407,14281.5441,61830.1172,-516612.7618,-438118.2598,-454782.6446
27000,2358.2735,14274.6806,62045.162,-516967.3476,-438289.2315,-454922.18559999997
28000,2349.0504,14148.0476,62143.0801,-516708.4303,-438068.2522,-454565.3502
29000,2403.7548,14311.5855,61708.9466,-516439.6464,-438015.3595,-454730.6998
30000,2376.8838,14306.6138,62714.1241,-517183.8554,-437786.2337,-454469.7313
31000,2416.2751,14276.852,61918.1548,-516112.8187,-437501.5368,-454194.6639
32000,2399.1983,14289.4856,61952.2318,-515865.0388,-437224.12309999997,-453912.807
33000,2409.1953,14413.782,62322.942,-517027.7206,-437881.8013,-454704.7786
34000,2378.2814,14308.5956,61676.1058,-515598.587,-437235.6042,-453922.4812
35000,2410.4396,14309.3893,62016.9827,-516138.676,-437401.86439999996,-454121.6933
36000,2400.1236,14222.8949,62424.3691,-516252.7038,-437205.3162,-453828.3347
37000,2389.2338,14298.8664,62233.8587,-516451.2867,-437529.32779999997,-454217.428
38000,2380.5503,14318.4241,62127.2642,-515564.3539,-436738.1153,-453437.0897
39000,2401.866,14251.3279,62160.7123,-515970.5233,-437156.61710000003,-453809.811
40000,2374.6687,14323.9113,61422.2414,-515804.475,-437683.65359999996,-454382.2336
41000,2393.2046,14348.6599,62112.3014,-516379.8138,-437525.6479,-454267.5124
42000,2396.5983,14338.2913,61832.6655,-515964.6859,-437397.1308,-454132.0204
43000,2429.7776,14334.4852,61898.1406,-515240.0535,-436577.65009999997,-453341.9129
44000,2412.4327,14314.8836,61782.1074,-516025.0544,-437515.63070000004,-454242.94700000004
45000,2413.4728,14360.6847,61495.8703,-514922.7691,-436652.7413,-453426.89879999997
46000,2388.501,14284.3739,61707.3425,-515059.5493,-436679.3319,-453352.20680000004
47000,2384.5401,14324.6373,61725.5265,-515736.9291,-437302.2252,-454011.40260000003
48000,2385.6241,14244.2001,61861.558,-515947.6941,-437456.31190000003,-454086.1361
49000,2405.5913,14378.478,62011.9517,-516221.7588,-437425.7378,-454209.80710000003
50000,2352.0478,14170.9732,62416.3331,-517305.0924,-438365.7383,-454888.75930000003
51000,2380.9088,14185.4357,62115.9898,-516091.0765,-437408.74220000004,-453975.08670000004
52000,2402.143,14218.9819,61502.7826,-515187.4315,-437063.524,-453684.64890000003
53000,2395.1943,14300.5961,61811.1087,-515648.0388,-437141.1397,-453836.9301
54000,2346.5444,14227.3058,62322.6354,-516645.7307,-437749.2451,-454323.09530000004
55000,2393.5238,14257.1978,61889.5384,-515499.1345,-436958.8745,-453609.59609999997
56000,2374.2093,14175.795,62799.5806,-517017.8502,-437668.26529999997,-454218.2696
57000,2394.7021,14272.7642,61823.2272,-515923.5351,-437432.8416,-454100.30789999996
58000,2385.7106,14207.3128,62417.2778,-516888.2228,-437877.9216,-454470.945
