window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2
1,0.009220,0.023590,-437912.549267,-454567.453021,716.571843,-137.226441,716.571843,13694.921024,-137.226441,13910.551221,16.903930,-3.237172
2,0.047940,0.053470,-437884.803605,-454572.766429,590.173545,548.358272,590.173545,5040.473482,548.358272,5065.049472,31.556579,29.320717
3,0.115050,0.080040,-437850.091200,-454509.420266,1965.178196,2209.874705,1965.178196,3359.866267,2209.874705,3390.316165,157.292863,176.878371
4,0.206340,0.101580,-437573.519379,-454222.722276,1257.243501,1139.291064,1257.243501,2688.269448,1139.291064,2711.295979,127.710795,115.729186
5,0.316080,0.116750,-437597.347539,-454280.388583,-36.279068,-172.833610,-36.279068,2284.637503,-172.833610,2305.161326,-4.235581,-20.178324
6,0.437380,0.124570,-437581.901294,-454262.653753,396.912229,361.359093,396.912229,2156.392959,361.359093,2183.771411,49.443356,45.014502
7,0.562620,0.124570,-437499.492798,-454191.299112,511.223136,375.560866,511.223136,2161.084416,375.560866,2179.774077,63.683066,46.783617
8,0.683920,0.116750,-437455.864343,-454170.062977,336.372859,171.654125,336.372859,2260.647744,171.654125,2286.951397,39.271531,20.040619
9,0.793660,0.101580,-437421.777213,-454151.640143,-81.059300,-165.206665,-81.059300,2677.070659,-165.206665,2684.581845,-8.234004,-16.781693
10,0.884950,0.080040,-437472.159694,-454203.274473,-283.501494,-192.651235,-283.501494,3307.154739,-192.651235,3339.214799,-22.691460,-15.419805
11,0.952060,0.053470,-437466.683849,-454182.156099,-141.364903,77.210149,-141.364903,5047.655397,77.210149,5070.955729,-7.558781,4.128427
12,0.990780,0.023590,-437487.120341,-454195.103323,-527.801960,-334.380792,-527.801960,13628.638813,-334.380792,13746.046153,-12.450848,-7.888043
