lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,253.399560,0.100792,254.829453,0.101459
0.115050,523.596072,0.128031,525.378137,0.130790
0.206340,778.549237,0.147276,779.160144,0.152354
0.316080,986.168929,0.165163,982.788924,0.168307
0.437380,1123.136785,0.180559,1114.273913,0.182053
0.562620,1176.883757,0.194979,1161.724311,0.196133
0.683920,1143.852792,0.208187,1120.758575,0.208917
0.793660,1031.117933,0.220185,1000.802669,0.221165
0.884950,856.012127,0.232014,818.774697,0.233015
0.952060,644.512448,0.245746,602.301698,0.246066
0.990780,420.426343,0.268506,375.982800,0.266569
