window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437912.549267,4405.098725,-454567.453021,4570.161417,716.571843,13694.921024,-137.226441,13910.551221,16.903930,-3.237172,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437884.803605,4404.728673,-454572.766429,4570.337125,590.173545,5040.473482,548.358272,5065.049472,31.556579,29.320717,253.399560,0.100792,254.829453,0.101459
3,0.115050,0.080040,-437850.091200,4404.550580,-454509.420266,4569.718168,1965.178196,3359.866267,2209.874705,3390.316165,157.292863,176.878371,523.596072,0.128031,525.378137,0.130790
4,0.206340,0.101580,-437573.519379,4401.134718,-454222.722276,4566.339617,1257.243501,2688.269448,1139.291064,2711.295979,127.710795,115.729186,778.549237,0.147276,779.160144,0.152354
5,0.316080,0.116750,-437597.347539,4401.967073,-454280.388583,4567.320412,-36.279068,2284.637503,-172.833610,2305.161326,-4.235581,-20.178324,986.168929,0.165163,982.788924,0.168307
6,0.437380,0.124570,-437581.901294,4401.266072,-454262.653753,4566.828853,396.912229,2156.392959,361.359093,2183.771411,49.443356,45.014502,1123.136785,0.180559,1114.273913,0.182053
7,0.562620,0.124570,-437499.492798,4400.178698,-454191.299112,4566.006966,511.223136,2161.084416,375.560866,2179.774077,63.683066,46.783617,1176.883757,0.194979,1161.724311,0.196133
8,0.683920,0.116750,-437455.864343,4400.228543,-454170.062977,4566.071361,336.372859,2260.647744,171.654125,2286.951397,39.271531,20.040619,1143.852792,0.208187,1120.758575,0.208917
9,0.793660,0.101580,-437421.777213,4398.986693,-454151.640143,4564.929323,-81.059300,2677.070659,-165.206665,2684.581845,-8.234004,-16.781693,1031.117933,0.220185,1000.802669,0.221165
10,0.884950,0.080040,-437472.159694,4400.458349,-454203.274473,4566.470947,-283.501494,3307.154739,-192.651235,3339.214799,-22.691460,-15.419805,856.012127,0.232014,818.774697,0.233015
11,0.952060,0.053470,-437466.683849,4400.080768,-454182.156099,4566.044680,-141.364903,5047.655397,77.210149,5070.955729,-7.558781,4.128427,644.512448,0.245746,602.301698,0.246066
12,0.990780,0.023590,-437487.120341,4400.528779,-454195.103323,4566.105222,-527.801960,13628.638813,-334.380792,13746.046153,-12.450848,-7.888043,420.426343,0.268506,375.982800,0.266569
