window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2416.5549,14337.5393,62532.278,-517393.1446,-438106.7724,-454860.8666
1,0.00922,2000,2375.273,14199.9435,61844.9076,-516411.9709,-437991.8468,-454567.06330000004
1,0.00922,3000,2365.2443,14288.9271,61924.14,-516653.1432,-438074.8318,-454729.0032
1,0.00922,4000,2397.3244,14330.3648,61519.1212,-515627.9782,-437381.1678,-454108.857
1,0.00922,5000,2382.8511,14320.3881,62326.3097,-516581.3452,-437551.7963,-454255.0355
1,0.00922,6000,2385.9214,14291.3713,61592.5381,-516388.6735,-438118.8427,-454796.13539999997
1,0.00922,7000,2349.9496,14338.3265,62296.7623,-517372.0748,-438387.0364,-455075.3125
1,0.00922,8000,2391.3611,14455.4723,61929.0237,-517042.914,-438267.05689999997,-455113.89029999997
1,0.00922,9000,2409.2695,14377.0161,62348.6394,-517028.346,-437893.42100000003,-454679.70660000003
1,0.00922,10000,2347.6719,14298.9729,61543.1681,-515764.9178,-437575.1049,-454221.7497
1,0.00922,11000,2378.8297,14379.3224,61797.5762,-515989.1612,-437433.43289999996,-454191.58499999996
1,0.00922,12000,2427.2531,14409.0372,61814.4948,-516522.3089,-437871.52379999997,-454707.8141
1,0.00922,13000,2421.2278,14327.374,62016.8477,-516695.3586,-437929.9091,-454678.5109
1,0.00922,14000,2399.983,14291.8065,62009.2304,-516891.8844,-438190.86449999997,-454882.654
1,0.00922,15000,2386.2732,14327.4095,62167.6586,-516625.5248,-437744.18350000004,-454457.8662
1,0.00922,16000,2396.5299,14288.9846,61954.7385,-516224.0654,-437583.81240000005,-454269.32690000004
1,0.00922,17000,2369.5351,14329.9794,61634.6893,-515666.7015,-437332.4977,-454032.0122
1,0.00922,18000,2392.5258,14343.9604,61685.6109,-515562.0141,-437139.91699999996,-453876.40319999994
1,0.00922,19000,2391.8736,14432.2253,62168.7009,-516748.7074,-437755.90760000004,-454580.0065
1,0.00922,20000,2427.365,14368.3874,61760.272,-516124.419,-437568.3946,-454364.147
1,0.00922,21000,2366.7807,14230.9992,61556.4877,-515897.0736,-437742.806,-454340.5859
1,0.00922,22000,2387.4872,14334.7239,62364.7979,-516983.6856,-437896.6766,-454618.8877
1,0.00922,23000,2403.6335,14390.5811,62294.9181,-517009.4675,-437920.3348,-454714.5494
1,0.00922,24000,2371.5509,14389.8186,62187.0008,-516620.2991,-437671.9288,-454433.2983
1,0.00922,25000,2422.021,14378.3103,61725.3181,-515419.5372,-436893.8878,-453694.21910000005
1,0.00922,26000,2376.9429,14406.2653,62277.0151,-517604.1663,-438543.94299999997,-455327.15119999996
1,0.00922,27000,2393.4263,14310.7329,62381.5769,-516735.3923,-437649.65619999997,-454353.8154
1,0.00922,28000,2372.2306,14336.2223,61725.3101,-515885.8755,-437452.11250000005,-454160.5654
1,0.00922,29000,2420.9817,14413.7764,61509.3965,-515401.5592,-437057.4046,-453892.1627
1,0.00922,30000,2385.5535,14357.5329,62131.0523,-516690.0791,-437815.94039999996,-454559.0268
1,0.00922,31000,2381.6465,14243.5647,62110.7799,-516507.8599,-437771.8688,-454397.07999999996
1,0.00922,32000,2383.3654,14270.0279,61961.9557,-516012.7412,-437397.3922,-454050.7855
1,0.00922,33000,2381.2473,14312.7409,62060.4215,-516115.8246,-437361.4149,-454055.4031
1,0.00922,34000,2389.2398,14433.3585,62151.4369,-517215.971,-438241.93580000004,-455064.53410000005
1,0.00922,35000,2386.3578,14370.4195,62067.6454,-516969.6752,-438145.2525,-454902.0298
1,0.00922,36000,2362.0481,14368.4246,62034.7502,-516736.5986,-437971.37570000003,-454701.8484
1,0.00922,37000,2404.5862,14312.1598,61994.9021,-516393.3763,-437681.7282,-454398.4742
1,0.00922,38000,2383.6724,14399.3044,62388.2428,-516586.4971,-437415.27749999997,-454198.2543
1,0.00922,39000,2361.1084,14275.3151,61551.1841,-515494.1244,-437306.5168,-453942.94029999996
1,0.00922,40000,2413.6578,14410.021,61996.2261,-516219.0353,-437399.1304,-454222.8092
1,0.00922,41000,2375.1316,14392.4803,62373.8175,-516708.3769,-437566.9475,-454334.55939999997
1,0.00922,42000,2384.7699,14297.0131,61608.4236,-516304.2213,-438014.01469999994,-454695.7977
1,0.00922,43000,2393.1893,14326.1468,62366.4561,-517048.8787,-437963.0865,-454682.4226
1,0.00922,44000,2396.0981,14357.3971,62076.1967,-515653.9615,-436824.2696,-453577.7648
1,0.00922,45000,2357.8037,14419.1272,61669.93,-516194.7119,-437747.851,-454524.7819
1,0.00922,46000,2377.9055,14364.9444,61814.1841,-516181.2078,-437624.1738,-454367.02369999996
1,0.00922,47000,2398.2215,14296.0144,62516.0767,-517430.6845,-438220.37189999997,-454914.6078
1,0.00922,48000,2397.9201,14395.2488,62043.2582,-516693.755,-437857.32790000003,-454650.4968
1,0.00922,49000,2389.9098,14260.564,62474.8306,-517114.7659,-437989.4615,-454639.9353
1,0.00922,50000,2357.3492,14477.5553,62316.4748,-516846.7822,-437695.4029,-454530.3074
1,0.00922,51000,2375.1516,14343.0859,61851.2984,-516356.6181,-437787.0822,-454505.3197
1,0.00922,52000,2378.407,14372.418,62180.9231,-516662.9842,-437731.2361,-454482.0611
1,0.00922,53000,2396.2729,14399.2422,61426.007,-514865.6607,-436644.1386,-453439.6537
1,0.00922,54000,2352.0812,14304.9086,62075.417,-516998.1886,-438265.7818,-454922.7716
1,0.00922,55000,2396.9952,14358.6534,61640.4648,-515899.5508,-437503.43740000005,-454259.086
1,0.00922,56000,2403.0828,14368.3888,62499.8747,-517296.1572,-438024.81090000004,-454796.28250000003
1,0.00922,57000,2371.7183,14323.1975,62062.3957,-516202.8934,-437445.5819,-454140.4977
1,0.00922,58000,2397.7255,14283.4789,61851.961,-515961.1919,-437428.0265,-454109.23089999997
1,0.00922,59000,2362.6549,14294.9195,62230.4729,-516402.2066,-437514.15929999994,-454171.7337
1,0.00922,60000,2375.883,14263.7858,61638.8807,-516232.1978,-437953.6483,-454593.31710000004
1,0.00922,61000,2377.16,14465.7827,61665.93,-515790.3673,-437281.4946,-454124.4373
1,0.00922,62000,2423.1643,14381.7161,61772.1415,-515489.8323,-436912.8104,-453717.6908
1,0.00922,63000,2344.5707,14359.9283,62420.2459,-516800.3376,-437675.59270000004,-454380.09170000005
1,0.00922,64000,2376.2678,14286.2146,61889.3634,-516392.7399,-437840.8941,-454503.3765
1,0.00922,65000,2404.9952,14454.7865,62472.8102,-517658.3106,-438325.7187,-455185.5004
1,0.00922,66000,2368.1422,14333.305,62101.6769,-516536.3452,-437733.22109999997,-454434.66829999996
1,0.00922,67000,2394.7409,14298.7125,61798.25,-516000.0128,-437508.3094,-454201.7628
1,0.00922,68000,2367.1372,14243.0532,61851.4341,-516099.1335,-437637.50899999996,-454247.6994
1,0.00922,69000,2410.7663,14302.2191,61927.3744,-516342.6895,-437702.3297,-454415.3151
1,0.00922,70000,2405.0833,14274.8396,62035.8291,-515915.288,-437199.53599999996,-453879.45889999997
1,0.00922,71000,2366.7145,14374.6202,61521.2792,-515727.2488,-437464.6349,-454205.9696
