step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2368.624,14227.6883,62308.6501,-517007.3466,-438102.3842,-454698.69649999996
2000,2393.0494,14336.1975,61854.6655,-516057.8276,-437473.91520000005,-454203.1621
3000,2401.5414,14343.8955,62030.1216,-516112.3826,-437336.8241,-454082.261
4000,2401.4427,14215.169,61594.582,-515537.1194,-437325.9257,-453942.53740000003
5000,2389.844,14270.4761,61824.8867,-515201.778,-436716.5712,-453376.8913
6000,2388.2236,14353.3912,62109.1457,-515854.2005,-437003.43999999994,-453745.0548
7000,2365.4065,14311.7307,61972.986,-515810.8586,-437160.7354,-453837.8726
8000,2371.6322,14413.1166,62040.9319,-516544.3467,-437718.66599999997,-454503.41479999997
9000,2381.4102,14297.5842,62037.9955,-516048.3962,-437331.40630000003,-454010.4007
10000,2388.7379,14343.2376,62383.8267,-516852.6895,-437736.88729999994,-454468.8628
11000,2375.8623,14335.5277,62191.2974,-516214.9938,-437312.3064,-454023.6964
12000,2388.3094,14311.8006,62291.7691,-515956.7419,-436964.8628,-453664.97280000005
13000,2418.2536,14425.6426,62155.7342,-515957.5584,-436957.92799999996,-453801.8242
14000,2365.6959,14293.1915,62398.3335,-516256.7265,-437199.5056,-453858.393
15000,2392.2099,14327.465,62297.8898,-516112.1903,-437094.6256,-453814.3005
16000,2414.7648,14302.9029,61855.2971,-515365.8103,-436792.8455,-453510.5132
17000,2388.1094,14263.7646,62249.4776,-516583.8488,-437682.4972,-454334.3712
18000,2363.1247,14307.9368,63021.8395,-517077.2468,-437384.3458,-454055.4073
19000,2376.0405,14434.0849,61786.9007,-515775.4359,-437178.40979999996,-453988.5352
20000,2383.5804,14347.8633,62125.5322,-515961.1783,-437104.2024,-453835.6461
21000,2376.6701,14397.051,62390.7304,-516563.161,-437398.7095,-454172.4306
22000,2370.7619,14416.7871,62134.5141,-516846.6576,-437924.5945,-454712.1435
23000,2387.816,14296.4919,62087.9689,-515850.2112,-437077.9344,-453762.24230000004
24000,2364.4073,14329.7265,61640.0203,-515763.5113,-437429.3572,-454123.49100000004
25000,2366.8657,14271.6381,62046.1712,-516458.4139,-437773.7389,-454412.2427
