window,lambda,gauss_weight,c1_mean,c2_mean,dvdl_c1_scalar,dvdl_c2_scalar,dvdl_c1_frame_mean,dvdl_c1_frame_std,dvdl_c2_frame_mean,dvdl_c2_frame_std,gq_contrib_c1,gq_contrib_c2
1,0.009220,0.023590,-437862.722456,-454642.601500,70.228166,1055.926601,70.228166,13702.114389,1055.926601,13788.792215,1.656682,24.909309
2,0.047940,0.053470,-437860.003221,-454601.716022,368.275231,507.051087,368.275231,4963.386389,507.051087,5023.560839,19.691677,27.112022
3,0.115050,0.080040,-437823.747888,-454588.940284,709.206874,468.884866,709.206874,3308.278440,468.884866,3327.046909,56.764918,37.529545
4,0.206340,0.101580,-437747.664852,-454527.444659,1936.350590,1943.586108,1936.350590,2673.551970,1943.586108,2693.618752,196.694493,197.429477
5,0.316080,0.116750,-437434.483329,-454198.221168,1102.990927,1184.266874,1102.990927,2278.479100,1184.266874,2293.846094,128.774191,138.263158
6,0.437380,0.124570,-437492.829828,-454253.831641,-79.025017,-50.997146,-79.025017,2179.926854,-50.997146,2184.163792,-9.844146,-6.352714
7,0.562620,0.124570,-437453.966156,-454210.794005,213.155173,126.066815,213.155173,2171.906034,126.066815,2188.969018,26.552740,15.704143
8,0.683920,0.116750,-437440.278552,-454222.751128,-220.818257,-343.484129,-220.818257,2345.758510,-343.484129,2371.578740,-25.780532,-40.101772
9,0.793660,0.101580,-437504.984006,-454290.152578,-211.610760,-130.356429,-211.610760,2640.112006,-130.356429,2657.400114,-21.495421,-13.241606
10,0.884950,0.080040,-437482.818663,-454248.956681,135.214154,278.900177,135.214154,3370.548603,278.900177,3393.976360,10.822541,22.323170
11,0.952060,0.053470,-437483.566084,-454245.974790,125.170279,370.824789,125.170279,5072.846760,370.824789,5116.134014,6.692855,19.828001
12,0.990780,0.023590,-437469.571892,-454209.712294,361.420248,936.531407,361.420248,13647.547015,936.531407,13734.603644,8.525904,22.092776
