lambda,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
0.009220,0.000000,0.000000,0.000000,0.000000
0.047940,250.545607,0.101611,261.546307,0.099774
0.115050,519.131602,0.130279,538.167732,0.128693
0.206340,772.529933,0.148925,799.776987,0.151241
0.316080,978.087012,0.167015,1012.257759,0.167233
0.437380,1111.817143,0.183194,1151.890352,0.184136
0.562620,1160.613632,0.197452,1205.481396,0.197672
0.683920,1121.824698,0.210975,1171.023374,0.211268
0.793660,1003.403791,0.223145,1056.507837,0.223363
0.884950,824.463903,0.235355,881.808459,0.234349
0.952060,610.743020,0.248741,672.897356,0.247986
0.990780,387.967736,0.269350,458.172785,0.267656
