window,lambda,gauss_weight,c1_VNB_mean,c1_VNB_std,c2_VNB_mean,c2_VNB_std,c1_dvdl_mean,c1_dvdl_std,c2_dvdl_mean,c2_dvdl_std,gq_contrib_c1,gq_contrib_c2,mbar_dF_case1,mbar_dF_std_case1,mbar_dF_case2,mbar_dF_std_case2
1,0.009220,0.023590,-437862.722456,4404.156590,-454642.601500,4571.095960,70.228166,13702.114389,1055.926601,13788.792215,1.656682,24.909309,0.000000,0.000000,0.000000,0.000000
2,0.047940,0.053470,-437860.003221,4403.829778,-454601.716022,4570.023227,368.275231,4963.386389,507.051087,5023.560839,19.691677,27.112022,250.545607,0.101611,261.546307,0.099774
3,0.115050,0.080040,-437823.747888,4403.320631,-454588.940284,4569.800959,709.206874,3308.278440,468.884866,3327.046909,56.764918,37.529545,519.131602,0.130279,538.167732,0.128693
4,0.206340,0.101580,-437747.664852,4402.531037,-454527.444659,4569.141976,1936.350590,2673.551970,1943.586108,2693.618752,196.694493,197.429477,772.529933,0.148925,799.776987,0.151241
5,0.316080,0.116750,-437434.483329,4400.227051,-454198.221168,4566.416441,1102.990927,2278.479100,1184.266874,2293.846094,128.774191,138.263158,978.087012,0.167015,1012.257759,0.167233
6,0.437380,0.124570,-437492.829828,4400.493350,-454253.831641,4567.041458,-79.025017,2179.926854,-50.997146,2184.163792,-9.844146,-6.352714,1111.817143,0.183194,1151.890352,0.184136
7,0.562620,0.124570,-437453.966156,4400.461907,-454210.794005,4566.694076,213.155173,2171.906034,126.066815,2188.969018,26.552740,15.704143,1160.613632,0.197452,1205.481396,0.197672
8,0.683920,0.116750,-437440.278552,4399.939071,-454222.751128,4566.538220,-220.818257,2345.758510,-343.484129,2371.578740,-25.780532,-40.101772,1121.824698,0.210975,1171.023374,0.211268
9,0.793660,0.101580,-437504.984006,4400.683801,-454290.152578,4567.351884,-211.610760,2640.112006,-130.356429,2657.400114,-21.495421,-13.241606,1003.403791,0.223145,1056.507837,0.223363
10,0.884950,0.080040,-437482.818663,4400.514977,-454248.956681,4566.951807,135.214154,3370.548603,278.900177,3393.976360,10.822541,22.323170,824.463903,0.235355,881.808459,0.234349
11,0.952060,0.053470,-437483.566084,4400.128728,-454245.974790,4566.490018,125.170279,5072.846760,370.824789,5116.134014,6.692855,19.828001,610.743020,0.248741,672.897356,0.247986
12,0.990780,0.023590,-437469.571892,4399.796318,-454209.712294,4566.052828,361.420248,13647.547015,936.531407,13734.603644,8.525904,22.092776,387.967736,0.269350,458.172785,0.267656
