window,lambda,step,nb14,eel14,vdwaals,eelec,case1,case2
1,0.00922,1000,2359.7549,14321.978,62169.6201,-516060.4169,-437209.0639,-453890.7968
1,0.00922,2000,2363.9712,14440.6858,61657.615,-516895.3015,-438433.0295,-455237.6865
1,0.00922,3000,2345.3939,14225.8987,61494.1344,-516017.8936,-437952.46660000004,-454523.75920000003
1,0.00922,4000,2353.39,14325.6572,61655.2089,-516038.3483,-437704.0922,-454383.1394
1,0.00922,5000,2407.1085,14236.8984,62126.4668,-515793.7552,-437023.28150000004,-453667.2884
1,0.00922,6000,2372.8552,14361.7131,62465.0151,-517528.799,-438329.2156,-455063.7839
1,0.00922,7000,2371.857,14380.8532,62475.6372,-517964.7267,-438736.37930000003,-455489.0895
1,0.00922,8000,2376.9038,14383.9473,62345.8369,-517373.2805,-438266.5925,-455027.4436
1,0.00922,9000,2391.3271,14363.0914,62298.2975,-516976.8017,-437924.0857,-454678.5042
1,0.00922,10000,2376.9108,14435.3505,61721.0812,-516129.449,-437596.1065,-454408.3678
1,0.00922,11000,2359.0854,14284.1255,62173.0279,-517011.8434,-438195.6046,-454838.8155
1,0.00922,12000,2393.2584,14329.6793,62332.2114,-517348.6805,-438293.53140000004,-455016.4691
1,0.00922,13000,2385.8864,14328.112,62148.7305,-516460.5961,-437597.86720000004,-454311.8656
1,0.00922,14000,2348.0397,14276.6434,62319.9556,-516550.6692,-437606.0305,-454230.7136
1,0.00922,15000,2343.2986,14523.6373,61912.9499,-516838.0035,-438058.1177,-454925.0536
1,0.00922,16000,2371.8656,14398.4888,62013.0842,-516523.2904,-437739.8518,-454510.2062
1,0.00922,17000,2343.1402,14408.7144,61783.0272,-516104.2649,-437569.3831,-454321.2377
1,0.00922,18000,2362.4067,14374.5319,61174.0591,-515556.8082,-437645.8105,-454382.7491
1,0.00922,19000,2365.3241,14390.8327,62183.6806,-516681.6553,-437741.81789999997,-454497.97469999996
1,0.00922,20000,2382.8435,14346.4104,61904.0264,-515942.9161,-437309.6358,-454038.88969999994
1,0.00922,21000,2400.1242,14364.1656,61729.1396,-516278.3121,-437784.88269999996,-454549.1725
1,0.00922,22000,2386.7687,14423.3143,61468.2221,-516111.431,-437833.1259,-454643.20889999997
1,0.00922,23000,2350.4075,14460.0505,61884.6424,-516846.3629,-438151.2625,-454961.7205
