step,nb14,eel14,vdwaals,eelec,case1,case2
1000,2396.1734,14350.5237,62142.8024,-516368.7894,-437479.2899,-454225.987
2000,2372.2915,14464.55,62159.1748,-516848.7465,-437852.7302,-454689.57170000003
3000,2413.1222,14402.9915,61867.8185,-515566.4492,-436882.517,-453698.6307
4000,2374.5933,14306.0564,62399.5157,-516837.0815,-437756.9161,-454437.5658
5000,2344.2349,14420.7671,62789.2736,-517863.0276,-438308.752,-455073.75399999996
6000,2380.1357,14443.2024,62235.1456,-516558.7017,-437500.218,-454323.5561
7000,2344.697,14344.2137,61820.1647,-516322.0243,-437812.94889999996,-454501.85959999997
8000,2366.3333,14358.86,62714.4494,-517570.5289,-438130.88619999995,-454856.0795
9000,2382.9924,14393.4534,62645.5934,-517557.2859,-438135.2467,-454911.6925
10000,2386.6935,14307.2976,62507.8282,-517270.4166,-438068.5973,-454762.5884
11000,2361.6873,14360.9021,62131.3508,-516344.1558,-437490.2156,-454212.805
12000,2398.8832,14442.3416,62521.5698,-516751.6784,-437388.88379999995,-454230.1086
13000,2375.4159,14383.8408,61670.7434,-515607.103,-437177.1029,-453936.3596
14000,2356.391,14377.7736,61709.7346,-515702.0879,-437258.1887,-453992.35329999996
15000,2349.5917,14325.5644,61699.1042,-516094.1567,-437719.89639999997,-454395.0525
16000,2378.4145,14399.5879,62215.4857,-516362.8299,-437369.3418,-454147.3442
17000,2377.4082,14318.284,61552.3766,-515212.1831,-436964.1143,-453659.8065
18000,2393.5399,14365.4403,61663.3156,-515999.6092,-437577.3134,-454336.2936
19000,2384.5402,14342.3313,61846.4263,-516508.4407,-437935.1429,-454662.0144
20000,2405.8534,14417.3481,61982.6171,-516071.5308,-437265.7122,-454088.91370000003
21000,2402.7307,14286.6287,61972.2371,-515887.011,-437225.4145,-453914.77390000003
22000,2355.99,14374.4757,62051.8295,-516629.0837,-437846.7885,-454577.2542
23000,2402.5039,14327.3227,61605.3294,-515960.3479,-437625.1919,-454355.0185
24000,2386.729,14254.0238,62283.0724,-516668.6427,-437744.8175,-454385.5703
25000,2374.45,14395.7849,61731.8198,-516583.0296,-438080.97490000003,-454851.2098
26000,2380.1269,14448.4568,61964.4614,-516450.2195,-437657.1744,-454485.7581
27000,2376.6386,14374.6469,61697.1281,-515846.4749,-437398.06129999994,-454149.34679999994
28000,2398.3342,14300.1628,61550.7771,-515337.9775,-437088.7034,-453787.2004
29000,2379.5939,14233.6043,61372.0922,-514905.7262,-436920.4358,-453533.63399999996
30000,2388.0351,14318.054,62291.0156,-516300.7322,-437303.62750000006,-454009.71660000004
31000,2396.6237,14407.5841,61931.5889,-515933.322,-437197.5253,-454001.73309999995
32000,2373.7083,14403.5904,62287.9846,-516234.4423,-437169.159,-453946.45769999997
33000,2346.3188,14359.0012,61567.2786,-515352.6904,-437080.09180000005,-453785.4118
34000,2397.1337,14400.2449,62099.4643,-516306.0455,-437409.2026,-454206.5812
35000,2414.7479,14394.8108,62265.6224,-516559.457,-437484.2759,-454293.8346
36000,2387.9306,14371.6929,61981.3958,-516148.2556,-437407.2363,-454166.8598
37000,2406.1749,14421.4678,62212.4576,-516139.8777,-437099.7774,-453927.4201
38000,2367.1087,14384.0508,61664.3735,-515970.2343,-437554.7013,-454305.8608
39000,2407.9601,14314.1209,61351.1358,-515257.3478,-437184.131,-453906.212
40000,2392.2103,14405.9049,62225.1218,-516935.6783,-437912.44130000006,-454710.5565
41000,2384.077,14460.5504,62024.1326,-516342.5808,-437473.8208,-454318.4482
42000,2406.6497,14375.921,61878.894,-515940.4929,-437279.0282,-454061.5989
